Dates,Filenames for last day of Feb,BaserM_Files
2/28/1991,0.059,BaserM00.059
2/29/1992,0.425,BaserM00.425
2/28/1993,0.79,BaserM00.790
2/28/1994,1.156,BaserM01.155
2/28/1995,1.521,BaserM01.520
2/29/1996,1.887,BaserM01.886
2/28/1997,2.253,BaserM02.251
2/28/1998,2.618,BaserM02.616
2/28/1999,2.983,BaserM02.981
2/29/2000,3.35,BaserM03.347
2/28/2001,3.715,BaserM03.712
2/28/2002,4.081,BaserM04.077
2/28/2003,4.446,BaserM04.442
2/29/2004,4.812,BaserM04.808
2/28/2005,5.178,BaserM05.173
2/28/2006,5.543,BaserM05.538
2/28/2007,5.908,BaserM05.903
2/29/2008,6.275,BaserM06.269
2/28/2009,6.64,BaserM06.634
2/28/2010,7.006,BaserM06.999
2/28/2011,7.371,BaserM07.364
2/29/2012,7.737,BaserM07.730
2/28/2013,8.103,BaserM08.095
2/28/2014,8.468,BaserM08.460
2/28/2015,8.833,BaserM08.825
2/29/2016,9.2,BaserM09.191
2/28/2017,9.565,BaserM09.556
2/28/2018,9.93,BaserM09.921
2/28/2019,10.296,BaserM10.286
2/29/2020,10.662,BaserM10.652
2/28/2021,11.028,BaserM11.017
2/28/2022,11.393,BaserM11.382
